in:WWR,in:ShadeDepth,in:SHGC/VLT,in:U-Value,in:ExWall,out:EUI(kWh/m2),out:Normalized HVACp (W/m2),out:Average DA,out:Concrete KgCO2e,out:PB KgCO2e,out:Glasswool KgCO2e,out:Glass KgCO2e,out:Total KgCO2e,out:$ kWh/annual,out: WOL (KgCO2e/20yrs),img
50,300,0.45/50,4.5,R1.0,87.34,17.19,79.71,277680.74,82057.65,4773400,30836.72,5163975.11,40359,8877007,WWR1_ShadeDepth1_SHGCVLT1_U-Value1_ExWall1.png
75,300,0.45/50,4.5,R1.0,102.17,18.97,91.83,265614.76,80566.61,4709100,43889.08,5099170.45,47212,9442661,WWR2_ShadeDepth1_SHGCVLT1_U-Value1_ExWall1.png
25,600,0.45/50,4.5,R1.0,71.8,14.82,39.78,289746.71,83548.7,4837600,17784.36,5228679.77,33178,8281069,WWR0_ShadeDepth2_SHGCVLT1_U-Value1_ExWall1.png
50,600,0.45/50,4.5,R1.0,83.9,16.7,78.92,277680.74,82057.65,4773400,30836.72,5163975.11,38769,8730764,WWR1_ShadeDepth2_SHGCVLT1_U-Value1_ExWall1.png
75,600,0.45/50,4.5,R1.0,98.44,18.52,91.48,265614.76,80566.61,4709100,43889.08,5099170.45,45488,9284090,WWR2_ShadeDepth2_SHGCVLT1_U-Value1_ExWall1.png
25,0,0.7/65,4.5,R1.0,88.44,17.51,60.66,289746.71,83548.7,4837600,17784.36,5228679.77,40867,8988475,WWR0_ShadeDepth0_SHGCVLT2_U-Value1_ExWall1.png
50,0,0.7/65,4.5,R1.0,109.99,20.92,86.51,277680.74,82057.65,4773400,30836.72,5163975.11,50825,9839912,WWR1_ShadeDepth0_SHGCVLT2_U-Value1_ExWall1.png
75,0,0.7/65,4.5,R1.0,132.24,23.91,95.88,265614.76,80566.61,4709100,43889.08,5099170.45,61107,10721008,WWR2_ShadeDepth0_SHGCVLT2_U-Value1_ExWall1.png
25,300,0.7/65,4.5,R1.0,85.33,16.96,58.84,289746.71,83548.7,4837600,17784.36,5228679.77,39430,8856262,WWR0_ShadeDepth1_SHGCVLT2_U-Value1_ExWall1.png
50,300,0.7/65,4.5,R1.0,104.25,20.17,86.02,277680.74,82057.65,4773400,30836.72,5163975.11,48173,9595891,WWR1_ShadeDepth1_SHGCVLT2_U-Value1_ExWall1.png
75,300,0.7/65,4.5,R1.0,126.44,23.03,95.68,265614.76,80566.61,4709100,43889.08,5099170.45,58427,10474436,WWR2_ShadeDepth1_SHGCVLT2_U-Value1_ExWall1.png
25,600,0.7/65,4.5,R1.0,83.03,16.57,57.36,289746.71,83548.7,4837600,17784.36,5228679.77,38367,8758483,WWR0_ShadeDepth2_SHGCVLT2_U-Value1_ExWall1.png
50,600,0.7/65,4.5,R1.0,99.04,19.44,85.44,277680.74,82057.65,4773400,30836.72,5163975.11,45766,9374402,WWR1_ShadeDepth2_SHGCVLT2_U-Value1_ExWall1.png
75,600,0.7/65,4.5,R1.0,121.14,22.32,95.48,265614.76,80566.61,4709100,43889.08,5099170.45,55978,10249121,WWR2_ShadeDepth2_SHGCVLT2_U-Value1_ExWall1.png
25,0,0.22/30,5.8,R1.0,64.1,13.82,21.92,289746.71,83548.7,4837600,10689.37,5221584.78,29620,7946629,WWR0_ShadeDepth0_SHGCVLT0_U-Value2_ExWall1.png
