WWR-NS,WWR-EW,ShadeDepth,SHGC,VLT,ExWall,EUI (kWh/m2),ELECp (W/m2),CLGp (W/m2),Daylight Autonomy,Excessive Daylight,OT26% - Patient North,OT26% - Patient South,img,EUI Saved(-)Wasted(+),REF_ELECp,REF_CLGp,REF_DA,REF_ExcDA
60,20,900,0.22,0.3,1.4,120.66,21.5,46.63,56.84,1.15,2.91,2.4,WWR-NS2_WWR-EW0_ShadeDepth3_SHGCVLT0_ExWall0.png,-4.28,-3.54,-4.89,14.67,-69.41
80,20,900,0.22,0.3,1.4,124.45,22.78,50.13,69.28,2.37,11.89,6.1,WWR-NS3_WWR-EW0_ShadeDepth3_SHGCVLT0_ExWall0.png,-1.27,2.20,2.24,-4.01,-36.97
20,40,900,0.22,0.3,1.4,114.69,19.56,41.29,14.08,0.3,0,0,WWR-NS0_WWR-EW1_ShadeDepth3_SHGCVLT0_ExWall0.png,-9.01,-12.25,-15.79,78.86,-92.02
40,40,900,0.22,0.3,1.4,117.02,20.44,43.78,31.91,0.45,0.01,0.16,WWR-NS1_WWR-EW1_ShadeDepth3_SHGCVLT0_ExWall0.png,-7.16,-8.30,-10.71,52.09,-88.03
60,40,900,0.22,0.3,1.4,121.08,21.65,47.14,59.38,1.17,2.92,2.42,WWR-NS2_WWR-EW1_ShadeDepth3_SHGCVLT0_ExWall0.png,-3.94,-2.87,-3.85,10.85,-68.88
80,40,900,0.22,0.3,1.4,124.78,22.88,50.59,71.24,2.4,11.91,6.23,WWR-NS3_WWR-EW1_ShadeDepth3_SHGCVLT0_ExWall0.png,-1.01,2.65,3.18,-6.95,-36.17
20,60,900,0.22,0.3,1.4,115.37,19.76,41.93,18.62,0.42,0,0,WWR-NS0_WWR-EW2_ShadeDepth3_SHGCVLT0_ExWall0.png,-8.47,-11.35,-14.48,72.05,-88.83
40,60,900,0.22,0.3,1.4,117.71,20.66,44.42,36.21,0.57,0.01,0.16,WWR-NS1_WWR-EW2_ShadeDepth3_SHGCVLT0_ExWall0.png,-6.62,-7.31,-9.40,45.64,-84.84
60,60,900,0.22,0.3,1.4,121.78,21.86,47.74,62.59,1.3,2.89,2.47,WWR-NS2_WWR-EW2_ShadeDepth3_SHGCVLT0_ExWall0.png,-3.39,-1.93,-2.63,6.04,-65.43
80,60,900,0.22,0.3,1.4,125.41,23.06,51.16,73.85,2.53,11.91,6.43,WWR-NS3_WWR-EW2_ShadeDepth3_SHGCVLT0_ExWall0.png,-0.51,3.45,4.34,-10.87,-32.71
20,80,900,0.22,0.3,1.4,115.87,19.97,42.59,22.66,0.61,0,0,WWR-NS0_WWR-EW3_ShadeDepth3_SHGCVLT0_ExWall0.png,-8.08,-10.41,-13.13,65.98,-83.78
40,80,900,0.22,0.3,1.4,118.72,20.87,45.02,39.97,0.75,0.01,0.17,WWR-NS1_WWR-EW3_ShadeDepth3_SHGCVLT0_ExWall0.png,-5.82,-6.37,-8.18,39.99,-80.05
60,80,900,0.22,0.3,1.4,122.52,22.09,48.34,65.55,1.49,2.84,2.53,WWR-NS2_WWR-EW3_ShadeDepth3_SHGCVLT0_ExWall0.png,-2.80,-0.90,-1.41,1.59,-60.37
80,80,900,0.22,0.3,1.4,127.1,23.38,51.79,76.27,2.72,12.15,6.56,WWR-NS3_WWR-EW3_ShadeDepth3_SHGCVLT0_ExWall0.png,0.83,4.89,5.63,-14.50,-27.66
20,20,0,0.34,0.42,1.4,120.61,20.91,44.87,22.89,1.37,0.05,0.16,WWR-NS0_WWR-EW0_ShadeDepth0_SHGCVLT1_ExWall0.png,-4.32,-6.19,-8.48,65.64,-63.56
40,20,0,0.34,0.42,1.4,128.56,22.99,50.61,51.53,2.73,10.94,4.9,WWR-NS1_WWR-EW0_ShadeDepth0_SHGCVLT1_ExWall0.png,1.99,3.14,3.22,22.64,-27.39
60,20,0,0.34,0.42,1.4,135.51,24.97,56.18,71.49,4.7,24.97,10.74,WWR-NS2_WWR-EW0_ShadeDepth0_SHGCVLT1_ExWall0.png,7.50,12.02,14.58,-7.33,25.00
80,20,0,0.34,0.42,1.4,143.54,27.06,61.62,78.86,6.72,33.32,16.74,WWR-NS3_WWR-EW0_ShadeDepth0_SHGCVLT1_ExWall0.png,13.88,21.40,25.68,-18.39,78.72
20,40,0,0.34,0.42,1.4,122,21.31,45.95,27.34,1.6,0.05,0.18,WWR-NS0_WWR-EW1_ShadeDepth0_SHGCVLT1_ExWall0.png,-3.21,-4.40,-6.28,58.96,-57.45
40,40,0,0.34,0.42,1.4,129.91,23.35,51.63,55.02,2.96,10.95,5,WWR-NS1_WWR-EW1_ShadeDepth0_SHGCVLT1_ExWall0.png,3.06,4.76,5.30,17.40,-21.28
60,40,0,0.34,0.42,1.4,136.78,25.28,57.06,73.96,4.93,24.97,10.87,WWR-NS2_WWR-EW1_ShadeDepth0_SHGCVLT1_ExWall0.png,8.51,13.41,16.38,-11.03,31.12
80,40,0,0.34,0.42,1.4,144.68,27.28,62.47,80.94,6.96,33.34,16.88,WWR-NS3_WWR-EW1_ShadeDepth0_SHGCVLT1_ExWall0.png,14.78,22.39,27.41,-21.51,85.11
20,60,0,0.34,0.42,1.4,123.59,21.65,46.93,32.68,1.91,0.05,0.18,WWR-NS0_WWR-EW2_ShadeDepth0_SHGCVLT1_ExWall0.png,-1.95,-2.87,-4.28,50.94,-49.20
40,60,0,0.34,0.42,1.4,131.21,23.7,52.62,59.4,3.28,10.96,5.09,WWR-NS1_WWR-EW2_ShadeDepth0_SHGCVLT1_ExWall0.png,4.09,6.33,7.32,10.82,-12.77
60,60,0,0.34,0.42,1.4,139,25.74,57.96,77.28,5.27,25.05,11.22,WWR-NS2_WWR-EW2_ShadeDepth0_SHGCVLT1_ExWall0.png,10.27,15.48,18.21,-16.02,40.16
80,60,0,0.34,0.42,1.4,145.8,27.52,63.29,83.92,7.31,33.36,17.18,WWR-NS3_WWR-EW2_ShadeDepth0_SHGCVLT1_ExWall0.png,15.67,23.46,29.08,-25.99,94.41
